HomeNo|Channel|Starttime|Activity|EndTime|Duration
555|555|20211211235957|PlayBack|20211211235957|1
555|555|20211211235958|Live|20211211235959|2
555|555|20211212235957|PlayBack|20211212235957|1
555|555|20211212235958|Live|20211212235959|2
555|555|20211213235957|PlayBack|20211213235957|1
555|555|20211213235958|Live|20211213235959|2
555|555|20211215235957|PlayBack|20211215235957|1
555|555|20211215235958|Live|20211215235959|2
555|555|20211216235957|PlayBack|20211216235957|1
555|555|20211216235958|Live|20211216235959|2
555|555|20211217235957|PlayBack|20211217235957|1
555|555|20211217235958|Live|20211217235959|2
9555|555|20211211235958|Live|20211211235959|2
9555|555|20211212235958|Live|20211212235959|2
9555|555|20211213235958|Live|20211213235959|2
9555|555|20211215235958|Live|20211215235959|2
9555|555|20211216235958|Live|20211216235959|2
9555|555|20211217235958|Live|20211217235959|2
